UNITID,carnegie_basic,carnegie_ug_program,carnegie_grad_program,carnegie_ug_profile,carnegie_enroll_profile,carnegie_size_setting,carnegie_classification2000
100636,-3,-3,-3,-3,-3,-3,-3
100654,18,13,18,9,4,14,16
100663,15,11,17,8,5,15,15
100690,21,11,13,6,5,6,51
100706,15,14,17,8,4,12,16
100724,18,10,12,9,4,13,21
100733,-3,-3,-3,-3,-3,-3,-3
100751,16,14,15,10,4,16,15
100760,2,1,-1,3,1,2,40
100812,22,12,-1,5,2,9,32
100830,18,13,6,8,4,12,21
100858,16,14,14,13,4,15,15
100937,21,7,2,12,3,11,31
101028,2,1,-1,2,1,2,40
101073,22,15,-1,9,2,8,33
101116,23,2,11,5,3,6,40
101143,2,1,-1,3,1,3,40
101161,5,1,-1,3,1,3,40
101189,22,16,8,7,4,9,32
101240,3,1,-1,3,1,4,40
101277,-3,-3,-3,-3,-3,-3,-3
101286,2,1,-1,2,1,3,40
101295,2,1,-1,2,1,3,40
101301,2,1,-1,3,1,2,40
101365,22,15,-1,5,2,6,40
101435,22,9,-1,11,2,7,31
101453,24,-2,-2,-2,5,-2,51
101462,1,1,-1,2,1,2,40
101471,1,1,-1,3,1,2,40
101480,18,13,4,6,3,12,21
101499,1,1,-1,2,1,2,40
101505,7,1,-1,1,1,4,40
101514,3,1,-1,2,1,4,40
101541,21,3,-1,8,2,7,31
101569,7,1,-1,2,1,3,40
101587,18,10,1,8,5,13,21
101602,1,1,-1,3,1,2,40
101648,1,1,-1,4,1,1,40
101675,22,15,-1,9,2,10,32
101693,22,10,6,11,3,10,21
101709,19,10,6,10,4,10,21
101736,2,1,-1,2,1,3,40
101879,18,13,7,11,4,12,21
101897,2,1,-1,2,1,3,40
101912,22,9,-1,9,3,11,32
101949,1,1,-1,3,1,2,40
101958,10,1,-1,4,1,1,40
101994,1,1,-1,3,1,2,40
102030,7,1,-1,2,1,3,40
102049,19,10,12,10,5,14,21
102058,24,-2,-2,-2,5,-2,-3
102067,3,1,-1,3,1,3,40
102076,2,1,-1,2,1,2,40
102094,16,10,18,8,4,15,16
102234,20,10,8,10,3,11,21
102261,24,-2,-2,-2,2,-2,51
102270,21,9,-1,9,2,11,32
102298,21,6,-1,9,2,8,31
102313,1,1,-1,3,1,2,40
102368,18,13,7,5,4,16,21
102377,22,13,17,9,4,11,21
102395,32,-2,-2,-2,6,-2,59
102429,2,1,-1,2,1,3,40
102553,18,13,4,5,3,12,21
102580,-3,-3,-3,-3,-3,-3,-3
102614,16,10,17,6,4,13,16
102632,20,7,9,5,4,9,21
102669,20,13,8,5,5,7,21
102711,-3,-3,-3,-3,-3,-3,-3
102845,23,2,-1,6,2,6,40
103361,2,1,-1,1,1,1,40
103501,-3,-3,-3,-3,-3,-3,-3
103529,-3,-3,-3,-3,-3,-3,-3
103644,14,2,-1,9,2,12,40
103723,30,-2,-2,-2,2,-2,56
103732,-3,-3,-3,-3,-3,-3,-3
103741,-3,-3,-3,-3,-3,-3,-3
103778,29,-2,-2,-2,6,-2,55
103787,22,15,-1,9,2,8,51
103811,-3,-3,-3,-3,-3,-3,-3
103893,10,1,-1,4,1,4,-3
103909,-3,-3,-3,-3,-3,-3,-3
103927,-3,-3,-3,-3,-3,-3,-3
103945,10,1,-1,4,1,1,-3
103954,-3,-3,-3,-3,-3,-3,-3
103963,10,1,-1,4,1,2,40
104090,23,2,-1,9,2,9,40
104151,15,11,15,11,4,15,15
104160,3,1,-1,1,1,3,40
104179,15,11,14,11,4,15,15
104188,30,-2,-2,-2,2,-2,40
104346,5,1,-1,1,1,3,40
104364,22,15,-1,9,2,6,55
104391,-3,-3,-3,-3,-3,-3,-3
104425,3,1,-1,1,1,3,40
104434,-3,-3,-3,-3,-3,-3,-3
104443,-3,-3,-3,-3,-3,-3,-3
104504,-3,-3,-3,-3,-3,-3,-3
104568,-3,-3,-3,-3,-3,-3,-3
104577,3,1,-1,1,1,3,40
104586,22,13,3,10,3,10,-3
104665,30,-2,-2,-2,6,-2,-3
104708,7,1,-1,1,1,5,40
104717,18,16,9,5,5,15,21
104805,14,2,-1,9,2,6,40
104911,-3,-3,-3,-3,-3,-3,-3
105118,10,1,-1,4,1,2,40
105136,-3,-3,-3,-3,-3,-3,-3
105145,7,1,-1,1,1,3,40
105154,7,1,-1,1,1,5,40
105163,28,-2,-2,-2,2,-2,40
105172,28,-2,-2,-2,2,-2,54
105206,5,1,-1,1,1,3,40
105215,-3,-3,-3,-3,-3,-3,-3
105297,33,1,-1,2,1,2,60
105330,16,13,15,11,4,16,16
105349,3,1,-1,1,1,3,40
105367,19,13,9,5,6,6,-3
105428,7,1,-1,1,1,4,40
105482,-3,-3,-3,-3,-3,-3,-3
105516,18,16,7,9,5,12,55
105525,7,1,-1,1,1,5,40
105534,10,1,-1,4,1,2,-3
105543,10,1,-1,4,1,2,-3
105589,20,10,12,11,5,6,22
105659,10,1,-1,4,1,1,40
105668,7,1,-1,1,1,4,40
105677,-3,-3,-3,-3,-3,-3,-3
105701,-3,-3,-3,-3,-3,-3,-3
105747,6,1,-1,1,1,4,40
105792,7,1,-1,1,1,3,40
105899,22,15,-1,10,2,8,51
105987,-3,-3,-3,-3,-3,-3,-3
106041,10,1,-1,4,1,3,40
106102,19,2,7,9,4,9,21
106111,-3,-3,-3,-3,-3,-3,-3
106148,3,1,-1,1,1,3,40
106245,17,10,18,6,4,12,16
106263,25,-2,-2,-2,6,-2,52
106281,-3,-3,-3,-3,-3,-3,-3
106306,23,2,-1,9,2,7,31
106315,-3,-3,-3,-3,-3,-3,-3
106324,-3,-3,-3,-3,-3,-3,-3
106342,21,6,-1,13,2,8,31
106351,-3,-3,-3,-3,-3,-3,-3
106360,-3,-3,-3,-3,-3,-3,-3
106397,15,14,15,13,4,16,15
106412,22,13,11,9,3,13,32
106449,11,1,-1,2,1,3,40
106458,18,13,18,9,4,12,21
106467,18,13,4,10,3,13,21
106485,20,13,9,9,3,9,32
106494,-3,-3,-3,-3,-3,-3,-3
106546,-3,-3,-3,-3,-3,-3,-3
106625,2,1,-1,3,1,2,40
106704,18,13,13,10,4,13,21
106713,22,15,-1,11,2,6,51
106795,11,1,-1,1,1,2,40
106810,13,1,-1,3,1,1,40
106829,-3,-3,-3,-3,-3,-3,-3
106883,1,1,-1,2,1,2,40
106892,-3,-3,-3,-3,-3,-3,-3
106908,-3,-3,-3,-3,-3,-3,-3
106980,2,1,-1,2,1,3,40
106999,11,1,-1,3,1,2,40
107044,18,13,9,10,4,14,22
107071,19,13,6,11,3,13,21
107080,21,4,2,12,3,11,31
107099,-3,-3,-3,-3,-3,-3,-3
107123,-3,-3,-3,-3,-3,-3,-3
107141,22,16,11,12,4,11,32
107211,-3,-3,-3,-3,-3,-3,-3
107220,-3,-3,-3,-3,-3,-3,-3
107275,-3,-3,-3,-3,-3,-3,-3
107293,-3,-3,-3,-3,-3,-3,-3
107318,4,1,-1,1,1,2,40
107327,2,1,-1,2,1,2,40
107363,-3,-3,-3,-3,-3,-3,-3
107442,-3,-3,-3,-3,-3,-3,-3
107460,2,1,-1,3,1,2,40
107488,-3,-3,-3,-3,-3,-3,-3
107512,21,9,-1,10,2,11,32
107521,1,1,-1,1,1,2,40
107549,1,1,-1,2,1,2,40
107558,22,9,-1,10,2,8,32
107585,11,1,-1,3,1,2,40
107600,22,9,-1,9,2,7,32
107619,11,1,-1,2,1,2,40
107637,2,1,-1,2,1,2,40
107655,-3,-3,-3,-3,-3,-3,-3
107664,6,1,-1,2,1,4,40
107725,11,1,-1,2,1,2,40
107743,1,1,-1,2,1,2,40
107789,-3,-3,-3,-3,-3,-3,-3
107831,-3,-3,-3,-3,-3,-3,-3
107840,-3,-3,-3,-3,-3,-3,-3
107877,22,12,-1,10,2,8,32
107974,1,1,-1,2,1,2,40
107983,19,13,6,11,3,10,21
107992,11,1,-1,1,1,2,40
108056,-3,-3,-3,-3,-3,-3,-3
108065,-3,-3,-3,-3,-3,-3,-3
108092,23,2,-1,7,2,12,40
108232,30,-2,-2,-2,5,-2,56
108250,28,-2,-2,-2,2,-2,40
108269,26,-2,-2,-2,7,-2,53
108348,-3,-3,-3,-3,-3,-3,-3
108649,-3,-3,-3,-3,-3,-3,-3
108667,7,1,-1,1,1,3,40
108807,3,1,-1,1,1,4,40
108852,9,1,-1,4,1,1,40
108861,24,-2,-2,-2,7,-2,51
108870,30,-2,-2,-2,7,-2,56
108977,-3,-3,-3,-3,-3,-3,-3
109040,10,0,-1,4,3,2,-3
109086,30,-2,-2,-2,7,-2,56
109208,7,1,-1,1,1,5,40
109350,4,1,-1,1,1,4,40
109651,30,-2,-2,-2,3,-2,56
109721,-3,-3,-3,-3,-3,-3,-3
109730,-3,-3,-3,-3,-3,-3,-3
109785,17,10,18,11,5,14,21
109819,7,1,-1,1,1,5,40
109907,4,1,-1,1,1,3,40
109934,-3,-3,-3,-3,-3,-3,-3
110060,24,-2,-2,-2,5,-2,51
110097,17,10,18,11,4,14,16
110185,30,-2,-2,-2,3,-2,56
110194,-3,-3,-3,-3,-3,-3,-3
110219,10,0,-1,4,3,2,-3
110246,3,1,-1,2,1,4,40
110307,26,-2,-2,-2,7,-2,59
110316,17,5,18,9,6,9,59
110334,3,1,-1,1,1,4,40
110361,18,10,6,11,4,14,21
110370,30,-2,-2,-2,4,-2,56
110398,31,-2,-2,-2,7,-2,57
110404,15,8,17,12,6,11,15
110413,18,10,7,11,5,14,21
110422,18,13,4,12,3,16,21
110468,17,10,18,6,6,13,59
