UNITID,year,school_name,instruction_staff,instructors_per_thousand_student,admin_professional_staff,admin_professionalstaff_perthousandstudent,noninstruction_academicstaff,noninstruction_academicstaff_perthousandstudent,nonadmin_trade_servicestaff,nonadmin_tradeservicestaff_perthousandstudent,all_instructors_staff,ug_student_perthousandstudent,instructor_salarypermillion,adminprofessionalstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,ug_average_sch_studentperay,grad_average_sch_studentperay,ug_degrees_perthousand_ugstudent,ug_certi_perthousand_ugstudent,graddegree_perhundredgradstudent,grad_certi_perhundred_gradstudent,bachelordegree_4yeargradrate,bachelordegree_6yeargradrate,associatedegree_certi3yeargradrate
<<<<<<< HEAD
100654,2014,Alabama A & M University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,789,"296,092","411,025","14,417","42,616",25,16,0,0,377,0,11.02%,35.25%,NULL
100663,2014,University of Alabama at Birmingham,2210,104,"4,412",1,72,4,973,46,"1,049",615,"87,812","124,415","2,252","30,076",24,15,0,0,389,6,32.58%,55.54%,NULL
100690,2014,Amridge University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,511,"333,037","304,833","137,062","21,506",18,10,12,0,233,0,0.00%,22.22%,NULL
100706,2014,University of Alabama in Huntsville,298,35,896,104,25,3,113,14,"1,034",766,"226,005","560,614","8,983","33,122",23,12,0,1,461,23,15.16%,46.14%,NULL
100724,2014,Alabama State University,269,39,352,51,77,12,197,29,626,876,"353,367","330,711","55,236","97,324",25,13,0,0,325,0,7.52%,26.32%,NULL
100751,2014,The University of Alabama,1287,34,"2,808",1,179,5,"1,010",1,182,833,"291,416","410,295","19,652","93,655",27,14,0,0,505,0,38.77%,65.66%,NULL
100760,2014,Central Alabama Community College,56,22,59,23,3,2,7,3,69,"1,000","330,689","354,440","11,334","29,403",16,NULL,182,10,NULL,NULL,NULL,NULL,13.97%
100830,2014,Auburn University at Montgomery,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,841,"353,803","443,936","23,267","22,041",21,12,0,0,454,2,8.63%,24.76%,NULL
100858,2014,Auburn University,1209,46,"2,728",1,355,14,538,21,895,782,"284,834","407,018","50,689","48,482",28,14,0,0,383,22,42.25%,70.86%,NULL
100937,2014,Birmingham Southern College,89,73,154,126,22,18,30,25,206,"1,000","317,821","490,132","65,023","68,327",33,NULL,0,0,NULL,NULL,56.22%,64.22%,NULL
101028,2014,Chattahoochee Valley Community College,37,15,45,18,2,1,7,3,54,"1,000","301,006","361,767","11,783","36,673",18,NULL,170,17,NULL,NULL,NULL,NULL,11.86%
101073,2014,Concordia College Alabama,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","406,743","329,904","366,755","274,920",22,NULL,84,0,NULL,NULL,5.36%,25.89%,NULL
101116,2014,South University-Montgomery,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,878,"133,069","583,879","15,798","12,701",22,14,122,0,392,0,4.76%,4.76%,NULL
101143,2014,Enterprise State Community College,58,18,39,12,18,6,14,5,71,"1,000","322,870","168,767","117,767","48,273",18,NULL,167,6,NULL,NULL,NULL,NULL,8.81%
101161,2014,James H Faulkner State Community College,80,13,0,0,90,14,0,0,90,"1,000","344,096",0,"335,909",0,17,NULL,130,8,NULL,NULL,NULL,NULL,10.93%
101189,2014,Faulkner University,112,29,130,34,39,11,9,3,178,825,"385,774","303,265","75,778","14,865",23,9,7,0,238,0,11.93%,30.73%,NULL
101240,2014,Gadsden State Community College,155,19,162,20,25,4,46,6,233,"1,000","314,868","324,204","46,146","58,386",17,NULL,138,38,NULL,NULL,NULL,NULL,12.83%
101286,2014,George C Wallace State Community College-Dothan,131,21,89,14,28,5,21,4,138,"1,000","372,913","254,735","91,361","45,497",17,NULL,178,74,NULL,NULL,NULL,NULL,14.81%
101295,2014,George C Wallace State Community College-Hanceville,128,18,110,16,13,2,27,4,150,"1,000","389,337","300,854","27,891","57,023",19,NULL,188,32,NULL,NULL,NULL,NULL,23.58%
101301,2014,George C Wallace State Community College-Selma,57,21,68,25,17,7,14,5,99,"1,000","276,423","344,579","75,256","50,833",16,NULL,157,17,NULL,NULL,NULL,NULL,20.21%
101365,2014,Herzing University-Birmingham,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,989,"257,846","190,374","234,441","11,962",18,12,229,246,572,0,0.00%,0.00%,NULL
101435,2014,Huntingdon College,41,29,105,75,10,8,24,17,139,"1,000","236,444","592,770","53,107","73,925",22,NULL,0,0,NULL,NULL,30.04%,45.06%,NULL
101453,2014,Heritage Christian University,6,55,23,208,1,10,2,19,26,712,"185,969","823,093","31,663","58,603",17,8,0,0,125,0,25.00%,50.00%,NULL
101462,2014,J F Drake State Community and Technical College,31,15,31,15,20,10,4,2,55,"1,000","271,151","273,730","160,850","21,233",14,NULL,92,26,NULL,NULL,NULL,NULL,12.05%
101471,2014,J F Ingram State Technical College,38,46,35,42,36,43,2,3,73,"1,000","258,866","274,521","273,122","15,739",22,NULL,86,"1,120",NULL,NULL,NULL,NULL,35.71%
101480,2014,Jacksonville State University,320,32,369,37,28,3,171,17,568,853,"399,422","359,547","19,923","90,552",23,11,0,0,455,8,8.69%,30.09%,NULL
101499,2014,Jefferson Davis Community College,35,22,29,19,6,4,7,5,42,"1,000","333,846","311,476","58,878","49,911",18,NULL,164,60,NULL,NULL,NULL,NULL,18.25%
101505,2014,Jefferson State Community College,145,11,108,8,32,3,35,3,175,"1,000","332,691","250,658","69,023","58,891",13,NULL,129,34,NULL,NULL,NULL,NULL,4.89%
101514,2014,John C Calhoun State Community College,143,9,147,9,12,1,28,2,187,"1,000","306,775","307,452","21,681","46,293",15,NULL,123,38,NULL,NULL,NULL,NULL,12.66%
101541,2014,Judson College,26,69,24,64,18,48,19,50,61,"1,000","349,996","276,757","163,094","98,239",24,NULL,79,0,NULL,NULL,36.84%,43.16%,NULL
101569,2014,Lawson State Community College-Birmingham Campus,79,18,102,23,10,3,24,6,136,"1,000","267,445","355,509","32,681","62,919",17,NULL,99,39,NULL,NULL,NULL,NULL,9.52%
101587,2014,University of West Alabama,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,413,"444,570","679,187","36,492","167,926",24,13,38,0,378,0,19.51%,35.37%,NULL
101602,2014,Lurleen B Wallace Community College,56,25,57,26,1,1,7,4,65,"1,000","369,571","399,847","7,511","27,662",18,NULL,209,86,NULL,NULL,NULL,NULL,19.36%
101648,2014,Marion Military Institute,19,43,36,81,14,32,28,63,78,"1,000","204,999","399,860","127,836","205,780",30,NULL,378,0,NULL,NULL,NULL,NULL,26.94%
101675,2014,Miles College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","326,834","474,946","14,260","84,101",25,NULL,0,0,NULL,NULL,8.24%,20.17%,NULL
101693,2014,University of Mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,906,"370,365","436,236","13,418","19,253",23,12,32,0,368,0,24.90%,41.91%,NULL
101709,2014,University of Montevallo,142,42,212,62,15,5,77,23,304,831,"356,674","409,193","24,434","99,246",27,14,0,0,656,0,20.71%,44.38%,NULL
101736,2014,Northwest-Shoals Community College,78,15,84,16,19,4,21,4,124,"1,000","254,768","316,418","49,595","54,565",15,NULL,130,78,NULL,NULL,NULL,NULL,11.51%
101879,2014,University of North Alabama,250,31,232,29,64,8,108,14,404,852,"375,595","277,849","68,232","74,033",23,12,0,0,514,0,12.04%,38.87%,NULL
101897,2014,Northeast Alabama Community College,57,15,43,12,7,2,16,5,66,"1,000","333,496","259,947","42,762","75,237",17,NULL,214,108,NULL,NULL,NULL,NULL,28.55%
101912,2014,Oakwood University,108,53,183,89,12,6,45,22,240,978,"350,000","440,064","26,656","65,243",27,19,1,0,596,"1,235",19.88%,43.48%,NULL
101949,2014,Alabama Southern Community College,37,20,41,22,42,23,6,4,89,"1,000","247,720","293,527","238,935","27,840",19,NULL,194,48,NULL,NULL,NULL,NULL,25.00%
101958,2014,Prince Institute-Southeast,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","553,363",NULL,NULL,NULL,18,NULL,220,0,NULL,NULL,NULL,NULL,11.11%
101994,2014,Reid State Technical College,24,32,17,23,13,18,5,7,35,"1,000","303,564","295,689","156,450","53,622",17,NULL,107,176,NULL,NULL,NULL,NULL,24.11%
102030,2014,Bishop State Community College,91,16,112,20,22,4,29,6,163,"1,000","298,216","357,540","52,850","63,446",15,NULL,100,68,NULL,NULL,NULL,NULL,8.80%
102049,2014,Samford University,307,58,539,102,37,7,54,11,630,600,"401,275","491,235","27,870","27,580",31,9,1,0,294,0,47.66%,66.10%,NULL
102058,2014,Selma University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,952,"945,580","118,616","129,159","40,857",18,17,0,0,667,0,3.78%,18.92%,NULL
102067,2014,Shelton State Community College,93,12,159,21,8,2,22,3,189,"1,000","259,489","446,304","18,481","36,852",16,NULL,93,21,NULL,NULL,NULL,NULL,11.63%
102076,2014,Snead State Community College,38,12,50,16,2,1,13,5,65,"1,000","331,574","370,646","15,917","63,172",19,NULL,276,37,NULL,NULL,NULL,NULL,31.59%
