id,opeid,year,loan_default_rate
1,41176,2011,0
2,4148,2011,32.4
3,36803,2011,40.6
4,22429,2011,44.1
5,2934,2011,0
6,24948,2011,22.5
7,30199,2011,17.3
8,5363,2011,25
9,12948,2011,24
10,20533,2011,28.2
11,41746,2011,0
12,39303,2011,12.5
13,4927,2011,27.5
14,36114,2011,46.2
15,41489,2011,25
16,20568,2011,25.7
17,30649,2011,43.9
18,38763,2011,27.7
19,3762,2011,18.6
20,38233,2011,75
21,39644,2011,22
22,13008,2011,31.8
23,21816,2011,25.8
24,25307,2011,29
25,7447,2011,21.8
26,4169,2011,13.7
27,40453,2011,20
28,23394,2011,19.3
29,1038,2011,0
30,41821,2011,0
31,11672,2011,14.7
32,23513,2011,27
33,8612,2011,0
34,2176,2011,29.4
35,4835,2011,28.9
36,5256,2011,0
37,41634,2011,30.7
38,41669,2011,20
39,41545,2011,0
40,1998,2011,27.6
41,10826,2011,28.9
42,9646,2011,0
43,30104,2011,37.9
44,3628,2011,0
45,10554,2011,26.7
46,30178,2011,39.6
47,37593,2011,13.5
48,9231,2011,29.5
49,41847,2011,50
50,25535,2011,18.3
51,41976,2011,0
52,25686,2011,16.6
53,41931,2011,0
54,8085,2011,0
55,36074,2011,33.3
56,41186,2011,23.5
57,9535,2011,16.6
58,696,2011,28.7
59,21466,2011,28.5
60,199,2011,28
61,41438,2011,19.2
62,1615,2011,26.3
63,4171,2011,20.6
64,25488,2011,32
65,41772,2011,0
66,2595,2011,19.1
67,37833,2011,21.2
68,11197,2011,0
69,3026,2011,20.1
70,21088,2011,21.9
71,5273,2011,31.8
72,2982,2011,39.9
73,21487,2011,19.1
74,41848,2011,0
75,39123,2011,33.3
76,3669,2011,25.3
77,21975,2011,32.6
78,41452,2011,30.9
79,5271,2011,31.1
80,6962,2011,27.7
81,3417,2011,31.8
82,943,2011,0
83,7687,2011,27.3
84,41174,2011,27.6
85,22463,2011,13.8
86,10695,2011,19
87,21719,2011,14.2
88,23068,2011,16.3
89,2943,2011,29.2
90,1209,2011,28.9
91,1104,2011,17.6
92,40144,2011,27.8
93,21395,2011,20
94,12525,2011,29.6
95,11074,2011,28.4
96,5258,2011,23.9
97,298,2011,15
98,10264,2011,19.3
99,11596,2011,19.4
100,4024,2011,0
101,36273,2011,34.8
102,3638,2011,23.5
103,35424,2011,16.9
104,4742,2011,31.7
105,2466,2011,29.6
106,1078,2011,20.6
107,40385,2011,36.7
108,7518,2011,15.8
109,1993,2011,22.5
110,7986,2011,39.5
111,26002,2011,18.5
112,8278,2011,33.4
113,3779,2011,27.4
114,6949,2011,32
115,1202,2011,27.2
116,7987,2011,0
117,3186,2011,28.1
118,1178,2011,23.9
119,9082,2011,15.3
120,38303,2011,15.1
121,21464,2011,34.3
122,4923,2011,28.7
123,41326,2011,28.4
124,1997,2011,29.7
125,31133,2011,22.5
126,31291,2011,22.9
127,2942,2011,25.5
128,31505,2011,31.4
129,3005,2011,13.1
130,5389,2011,23.9
131,1996,2011,29.1
132,25869,2011,13
133,3317,2011,26.9
134,9313,2011,23.8
135,41409,2011,27.8
136,1499,2011,21.5
137,5533,2011,27.4
138,4713,2011,21.8
139,36124,2011,33.2
140,32833,2011,10.6
141,22708,2011,11.2
142,21283,2011,28.8
143,30675,2011,26.9
144,3618,2011,24.6
145,30651,2011,17.7
146,40283,2011,25.8
147,2104,2011,15.3
148,1979,2011,22.4
149,39325,2011,25.2
150,1614,2011,21.2
151,31285,2011,15.7
152,10881,2011,29.7
153,22613,2011,27.1
154,30345,2011,25.2
155,30665,2011,0
156,9267,2011,23
157,34283,2011,29.4
158,1654,2011,16.9
159,1227,2011,20
160,41699,2011,11.1
161,23462,2011,25.5
162,8613,2011,0
163,39243,2011,31.2
164,32374,2011,26.5
165,9941,2011,28
166,39573,2011,27.8
167,1046,2011,28.8
168,25364,2011,26.3
169,10424,2011,22.6
170,38324,2011,35.2
171,1991,2011,27.4
172,1086,2011,29.9
173,2983,2011,23.1
174,30272,2011,16.9
175,6961,2011,23.5
176,5763,2011,0
177,4934,2011,19.8
178,25408,2011,21.3
179,39603,2011,39.5
180,40894,2011,30.8
181,41187,2011,30
182,35703,2011,32.2
183,3222,2011,34.5
