OPEID,default_rate1,default_rate2,default_rate3
41176,48.3,50,0
41480,47.3,38.2,32.4
36803,46.6,52.2,40.6
22429,43.5,44.2,44.1
2934,42.6,78.9,0
24948,42.4,33.3,22.5
30199,41.4,57.1,17.3
5363,39.3,27.2,25
12948,39.3,23.6,24
20533,39.2,36,28.2
41746,39.2,62.5,0
39303,38.7,22.5,12.5
4927,38.3,33.4,27.5
36114,37.9,37.2,46.2
41489,37.7,12.5,25
20568,35.8,33.7,25.7
30649,35.8,38.8,43.9
38763,35.7,37.5,27.7
3762,35.5,27,18.6
38233,35.5,33.3,75
39644,35.4,33.6,22
13008,35.4,28.8,31.8
21816,35.3,22.5,25.8
25307,35.2,34.2,29
7447,35.1,14.5,21.8
41690,34.8,33.3,13.7
40453,34.8,25.7,20
23394,34.2,17.4,19.3
1038,33.9,0,0
41821,33.8,22.2,0
11672,33.3,18.4,14.7
23513,33.3,29.7,27
8612,33.2,36.6,0
21760,32.4,26.8,29.4
4835,32.3,28.1,28.9
5256,32.3,0,0
41634,32.3,16.9,30.7
41669,32.3,45.1,20
41545,32.2,19.3,0
1998,31.9,32.3,27.6
10826,31.8,24.3,28.9
9646,31.7,18.7,0
30104,31.6,38.2,37.9
3628,31.2,0,0
10554,31,31.5,26.7
30178,31,27.6,39.6
37593,30.9,12.9,13.5
9231,30.8,34.5,29.5
41847,30.8,28.5,50
25535,30.7,30.5,18.3
41976,30.5,0,0
25686,30.5,29.4,16.6
41931,30.5,0,0
8085,30.4,30.4,0
36074,30.3,31.2,33.3
41186,30.3,17.3,23.5
9535,30.3,25,16.6
6960,30.2,28.8,28.7
21466,30.2,28.5,28.5
1990,30.1,27.6,28
41438,30.1,37.5,19.2
1615,30,28.3,26.3
41710,30,25.1,20.6
25488,29.8,40,32
41772,29.8,27.5,0
25950,29.7,21.2,19.1
37833,29.6,21.4,21.2
11197,29.6,50,0
3026,29.5,29.9,20.1
21088,29.5,18.4,21.9
5273,29.4,28.9,31.8
2982,29.4,38.6,39.9
21487,29.4,21.7,19.1
41848,29.4,0,0
39123,29.3,30.6,33.3
3669,29.2,21.4,25.3
21975,29.2,35.4,32.6
41452,29.1,27.4,30.9
5271,29,29.3,31.1
6962,28.9,31.8,27.7
3417,28.9,29.1,31.8
9430,28.8,57.1,0
7687,28.6,25.6,27.3
41174,28.5,26.6,27.6
22463,28.5,11.3,13.8
10695,28.5,25,19
21719,28.5,13,14.2
23068,28.3,35.9,16.3
2943,28.3,30.6,29.2
1209,28.3,20.4,28.9
1104,28.3,17,17.6
40144,28.3,22.8,27.8
21395,28.3,20,20
12525,28.2,30,29.6
11074,28.1,29.7,28.4
5258,28,27.6,23.9
2980,28,22.3,15
10264,27.9,15.3,19.3
11596,27.9,22.5,19.4
4024,27.8,22.7,0
36273,27.8,29,34.8
3638,27.8,25.5,23.5
35424,27.8,25.7,16.9
4742,27.7,28.9,31.7
2466,27.7,25.6,29.6
1078,27.6,24.8,20.6
40385,27.6,28.8,36.7
7518,27.5,20.3,15.8
1993,27.5,22.5,22.5
7986,27.5,32.8,39.5
26002,27.5,21.8,18.5
8278,27.4,28.1,33.4
3779,27.4,26.2,27.4
6949,27.3,24.2,32
1202,27.3,27.9,27.2
7987,27.3,32.5,0
3186,27.2,25.2,28.1
1178,27.2,25.6,23.9
9082,27.2,19.3,15.3
38303,27.2,21.1,15.1
21464,27.2,25,34.3
4923,27.2,35.2,28.7
