"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"100654","7","16946157","1231914","3701753","3111832","5921633","2113429","1198218","1485110","129514","1614588","121948","4364376","80812","138356","871","64","44","22","29","3","123","28","80","71","263","56","3","2","5","48","285","52","179","32","66","12","793","329872","87481","156613","38070"
"100663","7","99250094","0","0","5087293","30463963","30155831","27172575","11205621","3363571","14229505","0","22730689","14526305","3411268","9224","307","923","1257","283","369","1177","0","0","137","2244","573","0","317","83","106","4316","204","137","6","973","46","7670","97947","25754","5020","31745"
"100690","7","1893843","0","0","607279","601953","144746","323970","0","0","0","0","0","79300","0","97","6","3","5","0","0","0","0","0","15","41","0","0","2","0","40","14","14","15","15","2","2","72","470886","3","150994","19717"
"100706","7","27462717","0","0","736021","11720383","3188731","38786170","2701592","175123","2362132","0","7778410","1221952","0","1529","96","64","497","58","2","197","0","0","17","312","78","0","27","0","36","914","105","17","2","105","12","1348","247887","71798","6644","32351"
"100724","7","20176673","153750","0","3017512","7490674","1668083","1997305","4252849","178518","4085616","183352","4108059","1530140","203804","1180","80","40","40","86","4","117","4","0","73","274","154","7","42","10","40","367","54","77","11","213","31","931","371124","78851","58331","110416"
"100751","7","112642290","0","0","7719257","52728744","19728089","22755930","25271487","8494099","20475714","654098","25539863","9529998","3533529","6230","507","362","423","450","175","789","0","0","180","1252","622","24","195","100","34","2706","73","180","5","941","25","5079","295607","89320","20258","89734"
"100760","7","3082464","0","0","49420","1411917","38748","50354","0","0","242334","0","1568002","0","0","267","16","1","1","0","0","37","0","0","1","59","6","0","0","0","22","55","20","1","0","6","2","121","333530","169663","5347","26221"
"100812","7","6045786","0","0","1524974","2275450","611546","568609","404199","0","459608","0","1575964","435875","87300","372","24","11","9","7","0","40","0","0","23","84","14","0","9","2",,"91",,"23",,"25",,"223","343814","89626","86723","55889"
"100830","7","14137130","0","0","831400","8772400","1610250","2568581","1060390","207250","788289","60529","3501122","0","60196","917","111","27","51","27","4","111","0","0","19","203","32","3","0","3","33","331","54","19","3","38","6","591","350339","91904","20603","22527"
"100858","7","110010525","1607605","13050243","4952775","43182597","12451058","37077092","29953837","5671106","7960499","491808","26116088","7685314","2344719","5954","388","221","703","466","126","781","18","224","103","1184","251","13","205","59","44","2685","101","345","13","528","20","4742","284894","82324","50786","47864"
"100937","7","5815399","0","0","1175445","3171842","486172","620939","2013707","156650","711304","53040","1535905","356866","29140","366","36","10","11","44","4","44","0","0","23","86","16","2","9","1","68","149","119","23","18","28","22","286","354483","103177","71650","70121"
"101028","7","1810947","0","0","140717","1342610","212847","44105","41450","0","130896","44450","785169","52496","0","218","17","3","1","1","0","22","0","0","4","36","4","1","2","0","14","44","17","4","2","7","3","91","282696","122571","21966","35567"
"101073","7","1201280","0","0","3050000","300000","125000","0","150000","0","0","0","625000","0","0","133","5","4","0","5","0","25","0","0","48","21","0","0","0","0","29","39","54","48","66","0","0","108","302770","157528","768721","0"
"101116","7","657575","0","0","63224","1437074","0","0","0","0","0","0","848067","50232","0","126","18","0","0","0","0","20","0","0","2","12","0","0","2","0","9","38","30","2","2","2","2","54",,,,
