UNITID,private_nonprofit_total_salary_wage,public_total_salary_wage,privateprofit_total_salary_wage
100690,4021869,NULL,NULL
100937,16405285,NULL,NULL
101073,3967630,NULL,NULL
101189,19262003,NULL,NULL
101435,8622688,NULL,NULL
101453,1262058,NULL,NULL
101541,4138449,NULL,NULL
101675,11699175,NULL,NULL
101693,10781787,NULL,NULL
101912,15835685,NULL,NULL
102049,61145224,NULL,NULL
102058,1348022,NULL,NULL
102234,13062828,NULL,NULL
102261,779170,NULL,NULL
102270,8199173,NULL,NULL
102298,5528897,NULL,NULL
102377,47010730,NULL,NULL
102395,2874956,NULL,NULL
102580,425388,NULL,NULL
102669,7622152,NULL,NULL
103778,33499266,NULL,NULL
103787,963715,NULL,NULL
103945,875562,NULL,NULL
104665,498748,NULL,NULL
105589,8247145,NULL,NULL
105899,5038286,NULL,NULL
106306,6665309,NULL,NULL
106342,5750596,NULL,NULL
106546,5998742,NULL,NULL
106713,3982099,NULL,NULL
106810,1098134,NULL,NULL
107044,43459785,NULL,NULL
107080,19838306,NULL,NULL
107123,924850,NULL,NULL
107141,20289864,NULL,NULL
107512,12328243,NULL,NULL
107558,8067209,NULL,NULL
107600,7193679,NULL,NULL
107840,763023,NULL,NULL
107877,2902172,NULL,NULL
108269,914888,NULL,NULL
108852,2977231,NULL,NULL
108861,941950,NULL,NULL
108870,11822551,NULL,NULL
109086,9512380,NULL,NULL
109651,35538000,NULL,NULL
109785,109592195,NULL,NULL
110060,1219685,NULL,NULL
110097,64092810,NULL,NULL
110307,3925801,NULL,NULL
110316,13431552,NULL,NULL
110361,48004386,NULL,NULL
110370,30394000,NULL,NULL
110404,267203000,NULL,NULL
110413,43633302,NULL,NULL
110468,37422417,NULL,NULL
110778,7102189,NULL,NULL
110918,267996,NULL,NULL
110945,4570492,NULL,NULL
111081,33162452,NULL,NULL
111391,16683364,NULL,NULL
111638,8834383,NULL,NULL
111708,746759,NULL,NULL
111717,1856148,NULL,NULL
111726,882321,NULL,NULL
111744,655779,NULL,NULL
111762,500329,NULL,NULL
111771,557062,NULL,NULL
111799,284886,NULL,NULL
111948,103601626,NULL,NULL
111966,21735300,NULL,NULL
112075,25161485,NULL,NULL
112084,4348787,NULL,NULL
112127,1726998,NULL,NULL
112251,33993871,NULL,NULL
112260,40194000,NULL,NULL
112446,5446949,NULL,NULL
112525,79244229,NULL,NULL
112570,2036092,NULL,NULL
113537,313216,NULL,NULL
113698,27384999,NULL,NULL
113704,1525143,NULL,NULL
114549,11639396,NULL,NULL
114734,886075,NULL,NULL
114813,25584980,NULL,NULL
114840,25740000,NULL,NULL
114947,3428551,NULL,NULL
115083,35526191,NULL,NULL
115214,4091363,NULL,NULL
115409,25008610,NULL,NULL
115728,15223845,NULL,NULL
115773,6157633,NULL,NULL
116712,13794845,NULL,NULL
116846,9065320,NULL,NULL
117104,3622582,NULL,NULL
117140,58632277,NULL,NULL
117168,4279809,NULL,NULL
117520,5919871,NULL,NULL
117557,1649592,NULL,NULL
117575,1028367,NULL,NULL
117627,22950333,NULL,NULL
117636,117158972,NULL,NULL
117672,9747410,NULL,NULL
117751,16591394,NULL,NULL
117946,154887000,NULL,NULL
118541,10232136,NULL,NULL
118693,9310640,NULL,NULL
118888,32612368,NULL,NULL
119173,29777017,NULL,NULL
119605,84385816,NULL,NULL
120166,3819897,NULL,NULL
120184,17463128,NULL,NULL
120254,47358439,NULL,NULL
120403,20702129,NULL,NULL
120537,9656814,NULL,NULL
120698,12212460,NULL,NULL
120740,1483647,NULL,NULL
120768,5850378,NULL,NULL
120795,2826210,NULL,NULL
120838,1158825,NULL,NULL
120865,17339602,NULL,NULL
120883,145902453,NULL,NULL
121150,126747000,NULL,NULL
121257,20436089,NULL,NULL
121309,39545421,NULL,NULL
121345,58232000,NULL,NULL
121628,1468543,NULL,NULL
121691,51615759,NULL,NULL
122117,1381589,NULL,NULL
122250,2283203,NULL,NULL
122296,26094315,NULL,NULL
122436,140798000,NULL,NULL
122454,9751722,NULL,NULL
122506,9832620,NULL,NULL
122603,3122234,NULL,NULL
122612,140974000,NULL,NULL
122649,2685647,NULL,NULL
122728,7450008,NULL,NULL
122931,138701000,NULL,NULL
123095,6585646,NULL,NULL
123165,21887000,NULL,NULL
123280,276335,NULL,NULL
123448,1696352,NULL,NULL
123457,10650638,NULL,NULL
123554,58652530,NULL,NULL
123633,2887795,NULL,NULL
123651,18471326,NULL,NULL
123855,2792776,NULL,NULL
123916,1124277,NULL,NULL
123943,10832966,NULL,NULL
123952,8623100,NULL,NULL
123961,1572067000,NULL,NULL
123970,19678327,NULL,NULL
124283,6302069,NULL,NULL
124292,6248421,NULL,NULL
124487,1283944,NULL,NULL
125037,1194962,NULL,NULL
125718,2172634,NULL,NULL
125727,24196156,NULL,NULL
125763,30783142,NULL,NULL
125897,18789094,NULL,NULL
126012,5007617,NULL,NULL
126049,13755020,NULL,NULL
126076,802573,NULL,NULL
126669,20768435,NULL,NULL
126678,46798421,NULL,NULL
126872,2997083,NULL,NULL
126979,6027429,NULL,NULL
127060,189156804,NULL,NULL
127273,3816942,NULL,NULL
127653,10491294,NULL,NULL
127714,2737558,NULL,NULL
127918,69252266,NULL,NULL
127954,240859,NULL,NULL
128425,1184306,NULL,NULL
128498,12348704,NULL,NULL
128586,729929,NULL,NULL
128744,29184000,NULL,NULL
128902,49062000,NULL,NULL
129154,20823262,NULL,NULL
129242,61659000,NULL,NULL
129428,11158000,NULL,NULL
129491,2298336,NULL,NULL
129525,75121602,NULL,NULL
129534,1988357,NULL,NULL
129686,1653069,NULL,NULL
129774,8262886,NULL,NULL
129941,59766876,NULL,NULL
130226,114734493,NULL,NULL
130253,58223040,NULL,NULL
130314,28973000,NULL,NULL
130448,4445669,NULL,NULL
130590,47323428,NULL,NULL
130697,79625000,NULL,NULL
130785,0,NULL,NULL
130794,1404153447,NULL,NULL
130837,1260489,NULL,NULL
130943,379901636,NULL,NULL
130989,5618828,NULL,NULL
131098,11116609,NULL,NULL
131113,47796329,NULL,NULL
131159,219599000,NULL,NULL
131283,112228659,NULL,NULL
131308,12966067,NULL,NULL
131405,1381184,NULL,NULL
131450,64964813,NULL,NULL
131469,506343000,NULL,NULL
131496,481784000,NULL,NULL
131520,374843000,NULL,NULL
131830,188029,NULL,NULL
131876,16591829,NULL,NULL
131973,6094221,NULL,NULL
132408,3001918,NULL,NULL
132471,81235836,NULL,NULL
132602,26642188,NULL,NULL
132657,31102992,NULL,NULL
132842,5645459,NULL,NULL
132879,2858808,NULL,NULL
133085,3806714,NULL,NULL
133492,24567816,NULL,NULL
133526,7027358,NULL,NULL
133553,147352000,NULL,NULL
133711,17945908,NULL,NULL
133809,5076602,NULL,NULL
133872,14484994,NULL,NULL
133881,62931860,NULL,NULL
133979,15907966,NULL,NULL
134079,23179074,NULL,NULL
134510,1001814,NULL,NULL
134945,32760116,NULL,NULL
135063,2501455,NULL,NULL
135081,116189237,NULL,NULL
135364,3171634,NULL,NULL
135610,1652621,NULL,NULL
135726,1130371208,NULL,NULL
135939,1610127,NULL,NULL
136215,284697045,NULL,NULL
136330,34162362,NULL,NULL
136701,1578112,NULL,NULL
136774,20288286,NULL,NULL
136950,47618000,NULL,NULL
137032,69268422,NULL,NULL
137272,1246470,NULL,NULL
137476,27885906,NULL,NULL
137546,53689754,NULL,NULL
137564,19216316,NULL,NULL
137777,1010108,NULL,NULL
137847,46263548,NULL,NULL
137953,1179820,NULL,NULL
137962,1458238,NULL,NULL
138275,6635240,NULL,NULL
138293,4875307,NULL,NULL
138600,16929703,NULL,NULL
138761,2957512,NULL,NULL
138868,7907748,NULL,NULL
138947,35520075,NULL,NULL
139144,28958576,NULL,NULL
139153,3856352,NULL,NULL
139199,17904353,NULL,NULL
139205,3602284,NULL,NULL
139287,460242,NULL,NULL
139348,4795761,NULL,NULL
139393,13643683,NULL,NULL
139630,5906365,NULL,NULL
139658,2024280000,NULL,NULL
139995,684151,NULL,NULL
140146,4031207,NULL,NULL
140234,9895994,NULL,NULL
140252,26887459,NULL,NULL
140447,116136483,NULL,NULL
140553,31478553,NULL,NULL
140562,74465160,NULL,NULL
140696,10243348,NULL,NULL
140720,8025795,NULL,NULL
140818,16918341,NULL,NULL
140872,10475007,NULL,NULL
140951,97767062,NULL,NULL
140988,12636509,NULL,NULL
141060,37534926,NULL,NULL
141167,6566799,NULL,NULL
141185,5887806,NULL,NULL
141237,4839587,NULL,NULL
141325,7481497,NULL,NULL
141361,11097754,NULL,NULL
141486,20520906,NULL,NULL
141644,50439062,NULL,NULL
141936,68934,NULL,NULL
142090,1411954,NULL,NULL
142294,9968957,NULL,NULL
142461,15659024,NULL,NULL
142522,99650000,NULL,NULL
142832,17929170,NULL,NULL
143048,49308000,NULL,NULL
143084,32697037,NULL,NULL
143118,30728892,NULL,NULL
143233,1486122,NULL,NULL
143288,6154064,NULL,NULL
143297,2869255,NULL,NULL
143303,235081,NULL,NULL
143358,71950630,NULL,NULL
143659,4391490,NULL,NULL
143853,54547440,NULL,NULL
143978,35347844,NULL,NULL
144014,2805875,NULL,NULL
144050,957570832,NULL,NULL
144281,102396456,NULL,NULL
144351,28051437,NULL,NULL
144740,267009000,NULL,NULL
144883,3447532,NULL,NULL
144962,33678535,NULL,NULL
144971,6889133,NULL,NULL
145275,6333088,NULL,NULL
145354,896064,NULL,NULL
145372,10866640,NULL,NULL
145497,4065185,NULL,NULL
145558,48627111,NULL,NULL
145619,39321283,NULL,NULL
145628,16866276,NULL,NULL
145646,31824565,NULL,NULL
145691,12959991,NULL,NULL
145725,118157000,NULL,NULL
145886,947401,NULL,NULL
146241,25986667,NULL,NULL
146339,10410647,NULL,NULL
146427,21281103,NULL,NULL
146481,21715338,NULL,NULL
146490,5508193,NULL,NULL
146533,2094026,NULL,NULL
146612,47074029,NULL,NULL
146621,850917,NULL,NULL
146667,6699976,NULL,NULL
146676,8730176,NULL,NULL
146719,223540950,NULL,NULL
146728,3096850,NULL,NULL
146755,1837440,NULL,NULL
146791,803454,NULL,NULL
146816,1054933,NULL,NULL
146825,5230538,NULL,NULL
146977,3261180,NULL,NULL
147013,16888160,NULL,NULL
147031,1349880,NULL,NULL
147129,4432256,NULL,NULL
147244,21159144,NULL,NULL
147341,13597906,NULL,NULL
147369,44382804,NULL,NULL
147396,784648,NULL,NULL
147536,31105632,NULL,NULL
147590,12199911,NULL,NULL
147660,28151552,NULL,NULL
147679,25932776,NULL,NULL
147697,1633046,NULL,NULL
147767,849025000,NULL,NULL
147828,30625712,NULL,NULL
148016,16004300,NULL,NULL
148131,10019134,NULL,NULL
148335,27740952,NULL,NULL
148405,10189030,NULL,NULL
148487,57292370,NULL,NULL
148496,28633846,NULL,NULL
148511,658518960,NULL,NULL
148575,4392580,NULL,NULL
148584,21951578,NULL,NULL
148593,1490157,NULL,NULL
148627,36032851,NULL,NULL
148724,812979,NULL,NULL
148849,1432987,NULL,NULL
148876,7963812,NULL,NULL
148885,4642802,NULL,NULL
148955,1304422,NULL,NULL
148982,2710609,NULL,NULL
149028,2518634,NULL,NULL
149329,930096,NULL,NULL
149505,12779079,NULL,NULL
149514,17380084,NULL,NULL
149639,2494855,NULL,NULL
149763,4680301,NULL,NULL
149781,50617072,NULL,NULL
150048,3321972,NULL,NULL
150066,21122000,NULL,NULL
150145,13501975,NULL,NULL
150163,65435000,NULL,NULL
150172,6333115,NULL,NULL
150215,4229812,NULL,NULL
150288,4203883,NULL,NULL
150400,40727751,NULL,NULL
150455,20434937,NULL,NULL
150534,30388940,NULL,NULL
150604,10972193,NULL,NULL
150668,11850553,NULL,NULL
150677,9346516,NULL,NULL
150756,15903648,NULL,NULL
150774,3848365,NULL,NULL
150941,8550436,NULL,NULL
151263,41101108,NULL,NULL
151290,17402370,NULL,NULL
151777,14687661,NULL,NULL
151786,20446023,NULL,NULL
151801,69064887,NULL,NULL
151810,3926316,NULL,NULL
151865,2299115,NULL,NULL
151962,297402,NULL,NULL
152080,438173296,NULL,NULL
152099,8491630,NULL,NULL
152318,35795233,NULL,NULL
152336,19723329,NULL,NULL
152363,9082808,NULL,NULL
152381,7631357,NULL,NULL
152390,23978522,NULL,NULL
152451,2676444,NULL,NULL
152497,2577871,NULL,NULL
152530,22653256,NULL,NULL
152567,12479552,NULL,NULL
152600,56591000,NULL,NULL
152673,18370073,NULL,NULL
152798,4263930,NULL,NULL
152822,5680433,NULL,NULL
152992,8319313,NULL,NULL
153001,14896392,NULL,NULL
153108,18144066,NULL,NULL
153126,11913323,NULL,NULL
153144,16097327,NULL,NULL
153162,14900434,NULL,NULL
153241,3066862,NULL,NULL
153250,12048192,NULL,NULL
153269,62369300,NULL,NULL
153278,17871143,NULL,NULL
153302,2401130,NULL,NULL
153320,2733695,NULL,NULL
153366,15211025,NULL,NULL
153375,15855784,NULL,NULL
153384,43951000,NULL,NULL
153542,135436,NULL,NULL
153621,5912533,NULL,NULL
153825,17602674,NULL,NULL
153834,32126960,NULL,NULL
153861,6805000,NULL,NULL
153977,7271876,NULL,NULL
154004,13806594,NULL,NULL
154013,13955627,NULL,NULL
154101,11137612,NULL,NULL
154156,25264645,NULL,NULL
154174,30818478,NULL,NULL
154235,28049826,NULL,NULL
154262,2132768,NULL,NULL
154350,15888952,NULL,NULL
154493,26376879,NULL,NULL
154527,20121420,NULL,NULL
154536,2110332,NULL,NULL
154590,9283072,NULL,NULL
