"UNITID","privateprofit_total_salary_wage","private_nonprofit_total_salary_wage","public_total_salary_wage"
"101116","4072956",NULL,NULL
"101277","476399",NULL,NULL
"101365","2121402",NULL,NULL
"101958","813210",NULL,NULL
"102845","15435164",NULL,NULL
"103501","2665295",NULL,NULL
"103644","8111456",NULL,NULL
"103723","3161845",NULL,NULL
"103732","297167",NULL,NULL
"103741","573139",NULL,NULL
"103811","4618244",NULL,NULL
"103893","3054936",NULL,NULL
"103909","4831595",NULL,NULL
"103927","2179984",NULL,NULL
"103954","297147",NULL,NULL
"103963","3535866",NULL,NULL
"104090","13741468",NULL,NULL
"104188","1984092",NULL,NULL
"104364","3758251",NULL,NULL
"104391","296240",NULL,NULL
"104434","218551",NULL,NULL
"104443","422469",NULL,NULL
"104504","607236",NULL,NULL
"104568","1099381",NULL,NULL
"104717","228521492",NULL,NULL
"104911","1030315",NULL,NULL
"105163","1666966",NULL,NULL
"105172","2389675",NULL,NULL
"105215","11340000",NULL,NULL
"105482","651053",NULL,NULL
"105534","6794707",NULL,NULL
"105543","4338513",NULL,NULL
"105659","2457565",NULL,NULL
"105677","459909",NULL,NULL
"105701","106587",NULL,NULL
"105987","2018593",NULL,NULL
"106041","14092000",NULL,NULL
"106102","11151045",NULL,NULL
"106111","529445",NULL,NULL
"106281","110666",NULL,NULL
"106315","182332",NULL,NULL
"106324","80001",NULL,NULL
"106351","544051",NULL,NULL
"106360","126036",NULL,NULL
"106494","424251",NULL,NULL
"106892","1711686",NULL,NULL
"106908","1852029",NULL,NULL
"107099","223791",NULL,NULL
"107211","224780",NULL,NULL
"107220","1161940",NULL,NULL
"107293","415868",NULL,NULL
"107363","139672",NULL,NULL
"107442","137433",NULL,NULL
"107655","154020",NULL,NULL
"107789","414105",NULL,NULL
"107831","241526",NULL,NULL
"108065","36000",NULL,NULL
"108232","102131911",NULL,NULL
"108250","2888056",NULL,NULL
"108348","320000",NULL,NULL
"108649","832273",NULL,NULL
"108977","431544",NULL,NULL
"109040","23621511",NULL,NULL
"109721","1947436",NULL,NULL
"109730","770533",NULL,NULL
"109934","2022811",NULL,NULL
"110185","6607938",NULL,NULL
"110194","1028389",NULL,NULL
"110219","10058081",NULL,NULL
"110778","5745761",NULL,NULL
"110875","464609",NULL,NULL
"111009","3097424",NULL,NULL
"111054","1291630",NULL,NULL
"111513","985217",NULL,NULL
"112181","577000",NULL,NULL
"112288","1039189",NULL,NULL
"112394","5522201",NULL,NULL
"112455","31161",NULL,NULL
"113397","6850705",NULL,NULL
"113449","208048",NULL,NULL
"113582","1450918",NULL,NULL
"113908","2807246",NULL,NULL
"114044","1007529",NULL,NULL
"114071","2087904",NULL,NULL
"114080","1601846",NULL,NULL
"114114","1622023",NULL,NULL
"114123","2644151",NULL,NULL
"114354","59717562",NULL,NULL
"114460","657999",NULL,NULL
"114585","3721122",NULL,NULL
"114637","233407",NULL,NULL
"114761","257851",NULL,NULL
"115010","4801340",NULL,NULL
"115357","358961",NULL,NULL
"115454","6426342",NULL,NULL
"115472","8485975",NULL,NULL
"115490","8018065",NULL,NULL
"115515","6030221",NULL,NULL
"115533","8437228",NULL,NULL
"115658","513850",NULL,NULL
"115746","10138126",NULL,NULL
"115931","1455057",NULL,NULL
"116226","446859",NULL,NULL
"116350","1539217",NULL,NULL
"116466","4557444",NULL,NULL
"116475","2811344",NULL,NULL
"116484","3676551",NULL,NULL
"116563","2062218",NULL,NULL
"117113","10301834",NULL,NULL
"117238","308009",NULL,NULL
"117928","9255133",NULL,NULL
"117955","1299639",NULL,NULL
"118116","116210",NULL,NULL
"118125","79940",NULL,NULL
"118134","348907",NULL,NULL
"118143","232604",NULL,NULL
"118161","1113737",NULL,NULL
"118189","528426",NULL,NULL
"118198","6051871",NULL,NULL
"118259","3074842",NULL,NULL
"118277","8498721",NULL,NULL
"118286","4786754",NULL,NULL
"118356","12062946",NULL,NULL
"118921","2721001",NULL,NULL
"118958","138503",NULL,NULL
"118967","4605790",NULL,NULL
"118994","330644",NULL,NULL
"119234","676906",NULL,NULL
"119270","16074833",NULL,NULL
"119359","3639223",NULL,NULL
"119456","2588301",NULL,NULL
"119465","2748008",NULL,NULL
"119508","3593592",NULL,NULL
"119544","3699000",NULL,NULL
"119553","5464228",NULL,NULL
"119775","5986445",NULL,NULL
"119845","422518",NULL,NULL
"119951","1065487",NULL,NULL
"120069","2099033",NULL,NULL
"120078","3115465",NULL,NULL
"120087","1640902",NULL,NULL
"120272","398448",NULL,NULL
"120661","6671000",NULL,NULL
"121017","521303",NULL,NULL
"121275","2463146",NULL,NULL
"121381","3113803",NULL,NULL
"121433","347535",NULL,NULL
"121637","358915",NULL,NULL
"121859","831748",NULL,NULL
"121868","1533196",NULL,NULL
"121983","4217689",NULL,NULL
"121992","1171725",NULL,NULL
"122366","1110663",NULL,NULL
"122685","41730737",NULL,NULL
"122834","3464641",NULL,NULL
"122843","17212653",NULL,NULL
"122852","1535561",NULL,NULL
"123208","6512642",NULL,NULL
"123350","400000",NULL,NULL
"123396","506000",NULL,NULL
"123581","1580940",NULL,NULL
"123642","1583895",NULL,NULL
"123679","6657000",NULL,NULL
"124344","3120952",NULL,NULL
"124681","14516438",NULL,NULL
"124706","5969000",NULL,NULL
"124937","5784000",NULL,NULL
"125082","832433",NULL,NULL
"125231","139552000",NULL,NULL
"125310","323551",NULL,NULL
"125532","9729694",NULL,NULL
"126030","5507535",NULL,NULL
"126164","388853",NULL,NULL
"126359","3310841",NULL,NULL
"126401","1675137",NULL,NULL
"126605","4813929",NULL,NULL
"126687","6375000",NULL,NULL
"126702","9478526",NULL,NULL
"126784","1492022",NULL,NULL
"126827","10579506",NULL,NULL
"126854","269516",NULL,NULL
"126924","609183",NULL,NULL
"126951","4391129",NULL,NULL
"127024","2611860",NULL,NULL
"127219","213044",NULL,NULL
"127228","817034",NULL,NULL
"127316","1110647",NULL,NULL
"127680","941237",NULL,NULL
"127699","1752278",NULL,NULL
"127787","2171715",NULL,NULL
"127839","2406113",NULL,NULL
"127945","8819616",NULL,NULL
"128179","9363763",NULL,NULL
"128188","9363763",NULL,NULL
"128337","430029",NULL,NULL
"128540","657202",NULL,NULL
"128674","11078400",NULL,NULL
"128683","6897085",NULL,NULL
"128896","2803048",NULL,NULL
"128957","533365",NULL,NULL
"129002","2375188",NULL,NULL
"129181","4027611",NULL,NULL
"129349","1115101",NULL,NULL
"129482","3611952",NULL,NULL
"129923","5292819",NULL,NULL
"129932","3060115",NULL,NULL
"129969","1738595",NULL,NULL
"130110","989859",NULL,NULL
"130129","2031027",NULL,NULL
"130174","23304385",NULL,NULL
"130183","32721320",NULL,NULL
"130509","5937986",NULL,NULL
"130581","778258",NULL,NULL
"130873","3159055",NULL,NULL
"131061","473463",NULL,NULL
"131742","5192307",NULL,NULL
"131803","3879067",NULL,NULL
"132268","4189506",NULL,NULL
"132338","10675103",NULL,NULL
"132523","323282",NULL,NULL
"132666","976310",NULL,NULL
"132806","795080",NULL,NULL
"133465","6030383",NULL,NULL
"133845","4162000",NULL,NULL
"133854","4237000",NULL,NULL
"133863","3266000",NULL,NULL
"133942","366932",NULL,NULL
"133997","31970414",NULL,NULL
"134024","900092",NULL,NULL
"134112","19917452",NULL,NULL
"134121","1079039",NULL,NULL
"134149","7232093",NULL,NULL
"134228","114089",NULL,NULL
"134237","134024474",NULL,NULL
"134422","670390",NULL,NULL
"134529","1093936",NULL,NULL
"134574","735158",NULL,NULL
"134680","3715516",NULL,NULL
"134714","1220484",NULL,NULL
"134811","18151742",NULL,NULL
"134909","2500517",NULL,NULL
"135124","2739359",NULL,NULL
"135142","776080",NULL,NULL
"135337","1415635",NULL,NULL
"135416","2180307",NULL,NULL
"135559","174448",NULL,NULL
"135771","4414955",NULL,NULL
"135957","3359612",NULL,NULL
"136048","489516",NULL,NULL
"136066","2849370",NULL,NULL
"136109","883960",NULL,NULL
"136288","4012592",NULL,NULL
"136783","197546",NULL,NULL
"137148","3790854",NULL,NULL
"137537","1291144",NULL,NULL
"137591","1545549",NULL,NULL
"137801","4231988",NULL,NULL
"137810","2465314",NULL,NULL
"138132","384042",NULL,NULL
"138309","29187099",NULL,NULL
"138655","4807891",NULL,NULL
