UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200
100654,R,1133,R,0,R,1133,R,110,R,10,R,365,R,32,R,0,R,1133,R,19,R,22,R,384,R,34,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100663,R,1485,R,1,R,1484,R,378,R,25,R,714,R,48,R,0,R,1484,R,64,R,19,R,778,R,52,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100690,R,1,R,0,R,1,Z,0,R,0,Z,0,R,0,Z,0,R,1,Z,0,Z,0,Z,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100706,R,801,R,0,R,801,R,128,R,16,R,379,R,47,R,0,R,801,R,35,R,30,R,414,R,52,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100724,R,1298,R,0,R,1298,R,109,R,8,R,342,R,26,Z,0,R,1298,R,35,R,24,R,377,R,29,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100751,R,4359,R,84,R,4275,R,1757,R,41,R,2845,R,67,R,0,R,4275,R,94,R,41,R,2939,R,69,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100760,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,594,R,0,R,594,R,46,R,8,R,54,R,9,R,0,R,594,R,8,R,22,R,62,R,10
100830,R,526,R,0,R,526,R,5,R,1,R,29,R,6,R,0,R,526,R,18,R,15,R,47,R,9,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100858,R,4072,R,0,R,4072,R,1556,R,38,R,2780,R,68,R,0,R,4072,R,135,R,34,R,2915,R,72,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100937,R,291,R,1,R,290,R,161,R,56,R,190,R,66,R,0,R,290,R,4,R,2,R,194,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
