"UNITID","cohort_status8","cohort_status9","cohort_status13","cohort_status29","cohort_status30","under_certi_award_level1","under_degree_award_level3","under_degree_award_level5","grad_degree_award_level7","grad_certi_award_level6","total_studentcount_1","undrgradstudentcount_2","gradstudentcount_4","inst_activity_type","inst_act_ugcredit_hrs","inst_act_gradcredit_hrs","ug_student_perthousandstudent","ug_average_sch_studentperay","grad_average_sch_studentperay","ug_degrees_perthousand_ugstudent","ug_certi_perthousand_ugstudent","graddegree_perhundredgradstudent","grad_certi_perhundred_gradstudent","bachelordegree_4yeargradrate","bachelordegree_6yeargradrate","associatedegree_certi3yeargradrate"
"100654","1044","368","115","0","0","0","0","472","223","0","5591","4407","1184","2","109417","18537","788","25","16","107","0","19","0","11","35",
"100663","1246","692","406","0","0","0","0","2155","1597","24","21329","13107","8222","2","303064","115557","615","23","14","164","0","19","0","33","56",
"100690","9","2","0","0","0","0","3","65","56","0","985","503","482","2","8656","4546","511","17","9","135","0","12","0","0","22",
"100706","765","353","116","0","0","1","0","1109","466","23","8621","6596","2025","2","146835","23754","765","22","12","168","0","23","1","15","46",
"100724","1330","350","100","0","0","0","0","529","141","0","6992","6124","868","2","151550","10629","876","25","12","86","0","16","0","8","26",
"100751","5009","3289","1942","0","0","0","0","5957","1645","0","38918","32392","6526","2","849936","89349","832","26","14","184","0","25","0","39","66",
"100760","0","0","0","587","82","12","238","0","0","0","2617","2617","0","2","41455",,"1000","16",,"91","5",,,,,"14"
"100830","626","155","54","0","0","0","0","621","227","1","6268","5266","1002","2","108484","11549","840","21","12","118","0","23","0","9","25",
"100858","3967","2811","1676","0","0","0","0","4625","1108","62","26555","20760","5795","2","578493","76018","782","28","13","223","0","19","1","42","71",
"100937","450","289","253","0","0","0","0","310","0","0","1225","1225","0","2","39423",,"1000","32",,"253","0",,,"56","64",
"101028","0","0","0","312","37","21","219","0","0","0","2587","2587","0","2","44921",,"1000","17",,"85","8",,,,,"12"
"101073","112","13","0","0","0","0","29","34","0","0","697","697","0","2","14804",,"1000","21",,"90","0",,,"0","12",
"101116","21","1","1","0","0","0","62","46","28","0","1163","1020","143","2","22122","1918","877","22","13","106","0","20","0","5","5",
"101143","0","0","0","488","43","9","272","0","0","0","3265","3265","0","2","58267",,"1000","18",,"83","3",,,,,"9"
"101161","0","0","0","906","99","26","430","0","0","0","6635","6635","0","2","111417",,"1000","17",,"65","4",,,,,"11"
"101189","218","67","26","0","0","0","11","510","81","0","3888","3205","683","2","73360","5695","824","23","8","163","0","12","0","12","31",
"101240","0","0","0","1380","177","157","571","0","0","0","8292","8292","0","2","137346",,"1000","17",,"69","19",,,,,"13"
"101286","0","0","0","972","144","240","578","0","0","0","6509","6509","0","2","109099",,"1000","17",,"89","37",,,,,"15"
"101295","0","0","0","895","211","116","680","0","0","0","7262","7262","0","2","132241",,"1000","18",,"94","16",,,,,"24"
"101301","0","0","0","376","76","24","221","0","0","0","2829","2829","0","2","45035",,"1000","16",,"78","8",,,,,"20"
"101365","3","0","0","0","0","73","68","11","2","0","602","595","7","2","10567","84","988","18","12","133","123","29","0","0","0",
"101435","253","114","76","0","0","0","0","242","0","0","1417","1417","0","2","30148",,"1000","21",,"171","0",,,"30","45",
"101453","4","2","1","0","0","0","0","5","2","0","111","79","32","2","1321","234","712","17","7","63","0","6","0","25","50",
"101462","0","0","0","166","20","27","98","0","0","0","2131","2131","0","2","29102",,"1000","14",,"46","13",,,,,"12"
"101471","0","0","0","266","95","469","36","0","0","0","838","838","0","2","18050",,"1000","22",,"43","560",,,,,"36"
"101480","1243","374","108","0","0","0","0","1315","342","6","10236","8731","1505","2","196742","16259","853","23","11","151","0","23","0","9","30",
"101499","0","0","0","274","50","48","131","0","0","0","1605","1605","0","2","28578",,"1000","18",,"82","30",,,,,"18"
"101505","0","0","0","1268","62","225","874","0","0","0","13578","13578","0","2","175964",,"1000","13",,"64","17",,,,,"5"
"101514","0","0","0","1311","166","318","1032","0","0","0","16800","16800","0","2","236876",,"1000","14",,"61","19",,,,,"13"
"101541","95","41","35","0","0","0","15","55","0","0","380","380","0","2","8990",,"1000","24",,"184","0",,,"37","43",
"101569","0","0","0","893","85","89","226","0","0","0","4611","4611","0","2","74225",,"1000","16",,"49","19",,,,,"10"
"101587","246","87","48","0","0","0","41","228","589","0","5305","2187","3118","2","52363","37813","412","24","12","123","0","19","0","20","35",
"101602","0","0","0","377","73","96","234","0","0","0","2241","2241","0","2","39220",,"1000","18",,"104","43",,,,,"19"
"101648","0","0","0","271","73","0","84","0","0","0","445","445","0","2","13148",,"1000","30",,"189","0",,,,,"27"
"101675","461","93","38","0","0","0","0","198","0","0","2019","2019","0","2","48826",,"1000","24",,"98","0",,,"8","20",
"101693","241","101","60","0","0","0","28","299","34","0","1951","1766","185","2","39713","2088","905","22","11","185","0","18","0","25","42",
"101709","507","225","105","0","0","0","0","280","190","0","3426","2846","580","2","74317","8004","831","26","14","98","0","33","0","21","44",
"101736","0","0","0","756","87","214","357","0","0","0","5500","5500","0","2","81866",,"1000","15",,"65","39",,,,,"12"
"101879","988","384","119","0","0","0","0","1137","313","0","8184","6965","1219","2","154117","14368","851","22","12","163","0","26","0","12","39",
